id_combi,id_segmento_calle,codigo_calle,nombre_calle,tipo_calle,id_edge,num_edges,edge,geom_wkt
13132011001004_14,307321,V1313210244,ESPOZ,CALLE,1,4,"[-70.5976264596896, -33.39677020054802]","POLYGON((-70.5976264596896 -33.39677020054802, -70.59799749860332 -33.39671720329912, -70.59805163816723 -33.39698388475455, -70.59768059816616 -33.39703688219596, -70.5976264596896 -33.39677020054802))"
13132011001004_14,306241,V1313210049,NUEVA COSTANERA,AVENIDA,2,4,"[-70.5975728155093, -33.39642161241673]","POLYGON((-70.5975728155093 -33.39642161241673, -70.5976264596896 -33.39677020054802, -70.59730660480668 -33.39680483253119, -70.59725296187109 -33.39645624422607, -70.5975728155093 -33.39642161241673))"
13132011001004_5,306250,V1313210049,NUEVA COSTANERA,AVENIDA,2,4,"[-70.59746999749704, -33.39570427783733]","POLYGON((-70.59746999749704 -33.39570427783733, -70.59749592551753 -33.39588641121538, -70.59717569510225 -33.395918486041595, -70.5971497677349 -33.395736352577906, -70.59746999749704 -33.39570427783733))"
13132011001007_313,308092,V1313210415,NARCISO GOYCOLEA,CALLE,1,5,"[-70.59906859406993, -33.39784506735328]","POLYGON((-70.59906859406993 -33.39784506735328, -70.5990095854716 -33.39763979867792, -70.59932311103829 -33.39757638596192, -70.59938212031862 -33.39778165446946, -70.59906859406993 -33.39784506735328))"
13132011001007_313,307545,V1313210303,JUAN BAUTISTA PASTENES,CALLE,2,5,"[-70.59864659318492, -33.39791971038776]","POLYGON((-70.59864659318492 -33.39791971038776, -70.59906859406993 -33.39784506735328, -70.59913514085562 -33.39810976617163, -70.59871313876658 -33.39818440946587, -70.59864659318492 -33.39791971038776))"
13132011001007_641,306278,V1313210049,NUEVA COSTANERA,AVENIDA,3,4,"[-70.59765328177974, -33.3969508388155]","POLYGON((-70.59765328177974 -33.3969508388155, -70.59768815049695 -33.397171784285085, -70.59736842947294 -33.39720728456378, -70.59733356154345 -33.39698633898187, -70.59765328177974 -33.3969508388155))"
13132011001007_641,307321,V1313210244,ESPOZ,CALLE,4,4,"[-70.59812177428768, -33.396884405777335]","POLYGON((-70.59812177428768 -33.396884405777335, -70.59765328177974 -33.3969508388155, -70.59759952423396 -33.39668410295634, -70.59806801536797 -33.39661767015987, -70.59812177428768 -33.396884405777335))"
13132011001007_649,307321,V1313210244,ESPOZ,CALLE,1,5,"[-70.59812177428768, -33.396884405777335]","POLYGON((-70.59812177428768 -33.396884405777335, -70.59765328177974 -33.3969508388155, -70.59759952423396 -33.39668410295634, -70.59806801536797 -33.39661767015987, -70.59812177428768 -33.396884405777335))"
13132011001007_649,306278,V1313210049,NUEVA COSTANERA,AVENIDA,4,5,"[-70.59768725642726, -33.397172530721534]","POLYGON((-70.59768725642726 -33.397172530721534, -70.59770782002973 -33.39730539630659, -70.59738799320758 -33.39734022276619, -70.59736743007939 -33.397207357114596, -70.59768725642726 -33.397172530721534))"
13132011001007_649,306278,V1313210049,NUEVA COSTANERA,AVENIDA,5,5,"[-70.59765328177974, -33.3969508388155]","POLYGON((-70.59765328177974 -33.3969508388155, -70.59768725642726 -33.397172530721534, -70.59736737834535 -33.39720702119499, -70.59733340448966 -33.39698532917876, -70.59765328177974 -33.3969508388155))"
13132011001007_8,306278,V1313210049,NUEVA COSTANERA,AVENIDA,4,4,"[-70.59768725642726, -33.397172530721534]","POLYGON((-70.59768725642726 -33.397172530721534, -70.59773106584117 -33.397455429672526, -70.59741124151881 -33.397490275813915, -70.59736743311468 -33.397207376721155, -70.59768725642726 -33.397172530721534))"
13132011001009_107,306792,V1313210120,AURELIO GONZALEZ,CALLE,2,6,"[-70.59884686479137, -33.400097019490524]","POLYGON((-70.59884686479137 -33.400097019490524, -70.59881199607418 -33.39985966036606, -70.59913209495221 -33.39982657736547, -70.59916696451934 -33.40006393637563, -70.59884686479137 -33.400097019490524))"
13132011001009_107,306792,V1313210120,AURELIO GONZALEZ,CALLE,3,6,"[-70.59886474618479, -33.40022017727133]","POLYGON((-70.59886474618479 -33.40022017727133, -70.59884686479137 -33.400097019490524, -70.59916702001844 -33.40006431637491, -70.59918490185315 -33.40018747409693, -70.59886474618479 -33.40022017727133))"
13132011001009_107,306242,V1313210049,NUEVA COSTANERA,AVENIDA,5,6,"[-70.5981870413737, -33.40012463670505]","POLYGON((-70.5981870413737 -33.40012463670505, -70.59821296939418 -33.40030004313281, -70.597892898434 -33.40033332806497, -70.5978669710414 -33.400157921552356, -70.5981870413737 -33.40012463670505))"
13132011001009_107,306242,V1313210049,NUEVA COSTANERA,AVENIDA,6,6,"[-70.59816111335323, -33.399938780146265]","POLYGON((-70.59816111335323 -33.399938780146265, -70.5981870413737 -33.40012463670505, -70.59786670594528 -33.40015607619627, -70.59784077859213 -33.399970219551406, -70.59816111335323 -33.399938780146265))"
13132011001009_118,306792,V1313210120,AURELIO GONZALEZ,CALLE,4,5,"[-70.59897292861507, -33.400061191739695]","POLYGON((-70.59897292861507 -33.400061191739695, -70.59899349221752 -33.40019703855004, -70.59867353965035 -33.40023111182142, -70.59865297653354 -33.40009526494417, -70.59897292861507 -33.400061191739695))"
13132011001009_118,306792,V1313210120,AURELIO GONZALEZ,CALLE,5,5,"[-70.59894074210688, -33.39984323927059]","POLYGON((-70.59894074210688 -33.39984323927059, -70.59897292861507 -33.400061191739695, -70.59865285404 -33.400094445705456, -70.59862066831204 -33.399876493130975, -70.59894074210688 -33.39984323927059))"
13132011001009_2,306242,V1313210049,NUEVA COSTANERA,AVENIDA,2,5,"[-70.59816111335323, -33.399938780146265]","POLYGON((-70.59816111335323 -33.399938780146265, -70.59821296939418 -33.40030004313281, -70.5978927602179 -33.400332379269344, -70.5978409054722 -33.39997111611186, -70.59816111335323 -33.399938780146265))"
